year,date,event,type
2024,"February 19, 2024, Monday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2024,"February 2, 2024, Friday",Vivekananda Jayanti *Samvat,Hindu
2024,"February 24, 2024, Saturday",Guru Ravidas Jayanti,Hindu
2024,"February 4, 2024, Sunday",World Cancer Day,Modern
2024,"January 1, 2024, Monday",English New Year,Christian
2024,"January 12, 2024, Friday",Swami Vivekananda Jayanti,Govt
2024,"January 12, 2024, Friday",National Youth Day,Modern
2024,"January 14, 2024, Sunday",Lohri,Sikh
2024,"January 15, 2024, Monday",Makara Sankranti,Hindu
2024,"January 15, 2024, Monday",Pongal,Hindu
2024,"January 17, 2024, Wednesday",Guru Gobind Singh Jayanti,Hindu
2024,"January 21, 2024, Sunday",Tailang Swami Jayanti,Hindu
2024,"January 23, 2024, Tuesday",Subhas Chandra Bose Jayanti,Govt
2024,"January 24, 2024, Wednesday",Hazarat Ali's Birthday,Islamic
2024,"January 26, 2024, Friday",Republic Day,Govt
2024,"January 30, 2024, Tuesday",Gandhi Punyatithi,Govt
2024,"July 17, 2024, Wednesday",Day of Ashura,Islamic
2024,"July 17, 2024, Wednesday",Muharram,Islamic
2024,"July 21, 2024, Sunday",Guru Purnima,Hindu
2024,"July 7, 2024, Sunday",Jagannath Rathyatra,Hindu
2024,"July 8, 2024, Monday",Al-Hijra,Islamic
2024,"July 8, 2024, Monday",Islamic New Year,Islamic
2024,"June 16, 2024, Sunday",Father's Day,Modern
2024,"June 17, 2024, Monday",Eid al-Adha,Islamic
2024,"June 17, 2024, Monday",Bakrid,Islamic
2024,"June 21, 2024, Friday",Longest Day of Year,Hindu
2024,"June 21, 2024, Friday",International Yoga Day,Modern
2024,"June 22, 2024, Saturday",Kabirdas Jayanti,Hindu
2024,"June 5, 2024, Wednesday",World Environment Day,Modern
2024,"June 9, 2024, Sunday",Maharana Pratap Jayanti,Hindu
2024,"March 12, 2024, Tuesday",Ramakrishna Jayanti,Hindu
2024,"March 20, 2024, Wednesday",Vernal Equinox,Hindu
2024,"March 20, 2024, Wednesday",Parsi New Year,Hindu
2024,"March 23, 2024, Saturday",Shaheed Diwas,Govt
2024,"March 24, 2024, Sunday",Chhoti Holi,Hindu
2024,"March 24, 2024, Sunday",Holika Dahan,Hindu
2024,"March 25, 2024, Monday",Chaitanya Mahaprabhu Jayanti,Hindu
2024,"March 25, 2024, Monday",Holi,Hindu
2024,"March 28, 2024, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2024,"March 29, 2024, Friday",Good Friday,Christian
2024,"March 31, 2024, Sunday",Easter,Christian
2024,"March 5, 2024, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2024,"March 8, 2024, Friday",Maha Shivaratri,Hindu
2024,"March 8, 2024, Friday",International Women's Day,Modern
2024,"May 1, 2024, Wednesday",International Workers' Day,Modern
2024,"May 12, 2024, Sunday",Shankaracharya Jayanti,Hindu
2024,"May 12, 2024, Sunday",Surdas Jayanti,Hindu
2024,"May 12, 2024, Sunday",Mother's Day,Modern
2024,"May 23, 2024, Thursday",Buddha Purnima,Hindu
2024,"May 31, 2024, Friday",World No Tobacco Day,Modern
2024,"May 4, 2024, Saturday",Vallabhacharya Jayanti,Hindu
2024,"May 5, 2024, Sunday",World Laughter Day,Modern
2024,"May 7, 2024, Tuesday",Rabindranath Tagore Jayanti,Govt
2024,"November 1, 2024, Friday",Lakshmi Puja,Hindu
2024,"November 1, 2024, Friday",Diwali,Hindu
2024,"November 14, 2024, Thursday",Nehru Jayanti,Govt
2024,"November 14, 2024, Thursday",Children's Day,Modern
2024,"November 15, 2024, Friday",Guru Nanak Jayanti,Hindu
2024,"November 2, 2024, Saturday",Govardhan Puja,Hindu
2024,"November 3, 2024, Sunday",Bhaiya Dooj,Hindu
2024,"November 7, 2024, Thursday",Chhath Puja,Hindu
2024,"October 11, 2024, Friday",Durga Ashtami,Hindu
2024,"October 11, 2024, Friday",Maha Navami,Hindu
2024,"October 12, 2024, Saturday",Dussehra,Hindu
2024,"October 13, 2024, Sunday",Madhvacharya Jayanti,Hindu
2024,"October 17, 2024, Thursday",Valmiki Jayanti,Hindu
2024,"October 17, 2024, Thursday",Meerabai Jayanti,Hindu
2024,"October 2, 2024, Wednesday",Gandhi Jayanti,Govt
2024,"October 20, 2024, Sunday",Karwa Chauth,Hindu
2024,"October 3, 2024, Thursday",Maharaja Agrasen Jayanti,Hindu
2024,"October 31, 2024, Thursday",Narak Chaturdashi,Hindu
2024,"September 14, 2024, Saturday",Hindi Diwas,Modern
2024,"September 15, 2024, Sunday",Onam,Hindu
2024,"September 15, 2024, Sunday",Visvesvaraya Jayanti,Govt
2024,"September 15, 2024, Sunday",Engineer's Day,Modern
2024,"September 16, 2024, Monday",Milad un-Nabi,Islamic
2024,"September 16, 2024, Monday",Eid-e-Milad,Islamic
2024,"September 22, 2024, Sunday",Autumnal Equinox,Hindu
2024,"September 5, 2024, Thursday",Teachers' Day,Modern
2024,"September 7, 2024, Saturday",Ganesh Chaturthi,Hindu
2025,"April 1, 2025, Tuesday",Bank's Holiday,Govt
2025,"April 10, 2025, Thursday",Mahavir Swami Jayanti,Hindu
2025,"April 14, 2025, Monday",Solar New Year,Hindu
2025,"April 14, 2025, Monday",Ambedkar Jayanti,Govt
2025,"April 14, 2025, Monday",Baisakhi,Sikh
2025,"April 18, 2025, Friday",Good Friday,Christian
2025,"April 20, 2025, Sunday",Easter,Christian
2025,"April 22, 2025, Tuesday",Earth Day,Modern
2025,"April 24, 2025, Thursday",Vallabhacharya Jayanti,Hindu
2025,"April 6, 2025, Sunday",Rama Navami,Hindu
2025,"August 15, 2025, Friday",Janmashtami *Smarta,Hindu
2025,"August 15, 2025, Friday",Independence Day,Govt
2025,"August 16, 2025, Saturday",Janmashtami *ISKCON,Hindu
2025,"August 27, 2025, Wednesday",Ganesh Chaturthi,Hindu
2025,"August 3, 2025, Sunday",Friendship Day,Modern
2025,"August 9, 2025, Saturday",Raksha Bandhan,Hindu
2025,"August 9, 2025, Saturday",Rakhi,Hindu
2025,"December 1, 2025, Monday",World AIDS Day,Modern
2025,"December 21, 2025, Sunday",Shortest Day of Year,Hindu
2025,"December 25, 2025, Thursday",Merry Christmas,Christian
2025,"December 27, 2025, Saturday",Guru Gobind Singh Jayanti,Hindu
2025,"December 30, 2025, Tuesday",Tailang Swami Jayanti,Hindu
2025,"February 12, 2025, Wednesday",Guru Ravidas Jayanti,Hindu
2025,"February 14, 2025, Friday",Valentine's Day,Modern
2025,"February 19, 2025, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2025,"February 2, 2025, Sunday",Vasant Panchami,Hindu
2025,"February 23, 2025, Sunday",Maharishi Dayanand Saraswati Jayanti,Hindu
2025,"February 26, 2025, Wednesday",Maha Shivaratri,Hindu
2025,"February 4, 2025, Tuesday",World Cancer Day,Modern
2025,"January 1, 2025, Wednesday",English New Year,Christian
2025,"January 10, 2025, Friday",Tailang Swami Jayanti,Hindu
2025,"January 12, 2025, Sunday",Swami Vivekananda Jayanti,Govt
2025,"January 12, 2025, Sunday",National Youth Day,Modern
2025,"January 13, 2025, Monday",Hazarat Ali's Birthday,Islamic
2025,"January 13, 2025, Monday",Lohri,Sikh
2025,"January 14, 2025, Tuesday",Makara Sankranti,Hindu
2025,"January 14, 2025, Tuesday",Pongal,Hindu
2025,"January 21, 2025, Tuesday",Vivekananda Jayanti *Samvat,Hindu
2025,"January 23, 2025, Thursday",Subhas Chandra Bose Jayanti,Govt
2025,"January 26, 2025, Sunday",Republic Day,Govt
2025,"January 30, 2025, Thursday",Gandhi Punyatithi,Govt
2025,"January 6, 2025, Monday",Guru Gobind Singh Jayanti,Hindu
2025,"July 10, 2025, Thursday",Guru Purnima,Hindu
2025,"July 31, 2025, Thursday",Tulsidas Jayanti,Hindu
2025,"July 6, 2025, Sunday",Day of Ashura,Islamic
2025,"July 6, 2025, Sunday",Muharram,Islamic
2025,"June 11, 2025, Wednesday",Kabirdas Jayanti,Hindu
2025,"June 15, 2025, Sunday",Father's Day,Modern
2025,"June 21, 2025, Saturday",Longest Day of Year,Hindu
2025,"June 21, 2025, Saturday",International Yoga Day,Modern
2025,"June 27, 2025, Friday",Jagannath Rathyatra,Hindu
2025,"June 27, 2025, Friday",Al-Hijra,Islamic
2025,"June 27, 2025, Friday",Islamic New Year,Islamic
2025,"June 5, 2025, Thursday",World Environment Day,Modern
2025,"June 7, 2025, Saturday",Eid al-Adha,Islamic
2025,"June 7, 2025, Saturday",Bakrid,Islamic
2025,"March 1, 2025, Saturday",Ramakrishna Jayanti,Hindu
2025,"March 13, 2025, Thursday",Chhoti Holi,Hindu
2025,"March 13, 2025, Thursday",Holika Dahan,Hindu
2025,"March 14, 2025, Friday",Chaitanya Mahaprabhu Jayanti,Hindu
2025,"March 14, 2025, Friday",Holi,Hindu
2025,"March 17, 2025, Monday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2025,"March 20, 2025, Thursday",Vernal Equinox,Hindu
2025,"March 20, 2025, Thursday",Parsi New Year,Hindu
2025,"March 23, 2025, Sunday",Shaheed Diwas,Govt
2025,"March 28, 2025, Friday",Jamat Ul-Vida,Islamic
2025,"March 30, 2025, Sunday",Ugadi,Hindu
2025,"March 30, 2025, Sunday",Gudi Padwa,Hindu
2025,"March 30, 2025, Sunday",Jhulelal Jayanti,Hindu
2025,"March 31, 2025, Monday",Eid al-Fitr,Islamic
2025,"March 31, 2025, Monday",Ramadan,Islamic
2025,"March 8, 2025, Saturday",International Women's Day,Modern
2025,"May 1, 2025, Thursday",International Workers' Day,Modern
2025,"May 11, 2025, Sunday",Mother's Day,Modern
2025,"May 12, 2025, Monday",Buddha Purnima,Hindu
2025,"May 2, 2025, Friday",Shankaracharya Jayanti,Hindu
2025,"May 2, 2025, Friday",Surdas Jayanti,Hindu
2025,"May 29, 2025, Thursday",Maharana Pratap Jayanti,Hindu
2025,"May 31, 2025, Saturday",World No Tobacco Day,Modern
2025,"May 4, 2025, Sunday",World Laughter Day,Modern
2025,"May 7, 2025, Wednesday",Rabindranath Tagore Jayanti,Govt
2025,"November 14, 2025, Friday",Nehru Jayanti,Govt
2025,"November 14, 2025, Friday",Children's Day,Modern
2025,"November 5, 2025, Wednesday",Guru Nanak Jayanti,Hindu
2025,"October 1, 2025, Wednesday",Maha Navami,Hindu
2025,"October 10, 2025, Friday",Karwa Chauth,Hindu
2025,"October 2, 2025, Thursday",Dussehra,Hindu
2025,"October 2, 2025, Thursday",Madhvacharya Jayanti,Hindu
2025,"October 2, 2025, Thursday",Gandhi Jayanti,Govt
2025,"October 20, 2025, Monday",Lakshmi Puja,Hindu
2025,"October 20, 2025, Monday",Narak Chaturdashi,Hindu
2025,"October 20, 2025, Monday",Diwali,Hindu
2025,"October 22, 2025, Wednesday",Govardhan Puja,Hindu
2025,"October 23, 2025, Thursday",Bhaiya Dooj,Hindu
2025,"October 27, 2025, Monday",Chhath Puja,Hindu
2025,"October 7, 2025, Tuesday",Valmiki Jayanti,Hindu
2025,"October 7, 2025, Tuesday",Meerabai Jayanti,Hindu
2025,"September 14, 2025, Sunday",Hindi Diwas,Modern
2025,"September 15, 2025, Monday",Visvesvaraya Jayanti,Govt
2025,"September 15, 2025, Monday",Engineer's Day,Modern
2025,"September 22, 2025, Monday",Maharaja Agrasen Jayanti,Hindu
2025,"September 22, 2025, Monday",Autumnal Equinox,Hindu
2025,"September 30, 2025, Tuesday",Durga Ashtami,Hindu
2025,"September 5, 2025, Friday",Onam,Hindu
2025,"September 5, 2025, Friday",Milad un-Nabi,Islamic
2025,"September 5, 2025, Friday",Eid-e-Milad,Islamic
2025,"September 5, 2025, Friday",Teachers' Day,Modern
2026,"April 1, 2026, Wednesday",Bank's Holiday,Govt
2026,"April 13, 2026, Monday",Vallabhacharya Jayanti,Hindu
2026,"April 14, 2026, Tuesday",Solar New Year,Hindu
2026,"April 14, 2026, Tuesday",Ambedkar Jayanti,Govt
2026,"April 14, 2026, Tuesday",Baisakhi,Sikh
2026,"April 21, 2026, Tuesday",Shankaracharya Jayanti,Hindu
2026,"April 21, 2026, Tuesday",Surdas Jayanti,Hindu
2026,"April 22, 2026, Wednesday",Earth Day,Modern
2026,"April 3, 2026, Friday",Good Friday,Christian
2026,"April 5, 2026, Sunday",Easter,Christian
2026,"August 15, 2026, Saturday",Independence Day,Govt
2026,"August 19, 2026, Wednesday",Tulsidas Jayanti,Hindu
2026,"August 2, 2026, Sunday",Friendship Day,Modern
2026,"August 26, 2026, Wednesday",Onam,Hindu
2026,"August 26, 2026, Wednesday",Milad un-Nabi,Islamic
2026,"August 26, 2026, Wednesday",Eid-e-Milad,Islamic
2026,"August 28, 2026, Friday",Raksha Bandhan,Hindu
2026,"August 28, 2026, Friday",Rakhi,Hindu
2026,"December 1, 2026, Tuesday",World AIDS Day,Modern
2026,"December 22, 2026, Tuesday",Shortest Day of Year,Hindu
2026,"December 23, 2026, Wednesday",Hazarat Ali's Birthday,Islamic
2026,"December 25, 2026, Friday",Merry Christmas,Christian
2026,"February 1, 2026, Sunday",Guru Ravidas Jayanti,Hindu
2026,"February 12, 2026, Thursday",Maharishi Dayanand Saraswati Jayanti,Hindu
2026,"February 14, 2026, Saturday",Valentine's Day,Modern
2026,"February 15, 2026, Sunday",Maha Shivaratri,Hindu
2026,"February 19, 2026, Thursday",Ramakrishna Jayanti,Hindu
2026,"February 19, 2026, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2026,"February 4, 2026, Wednesday",World Cancer Day,Modern
2026,"January 1, 2026, Thursday",English New Year,Christian
2026,"January 12, 2026, Monday",Swami Vivekananda Jayanti,Govt
2026,"January 12, 2026, Monday",National Youth Day,Modern
2026,"January 13, 2026, Tuesday",Lohri,Sikh
2026,"January 14, 2026, Wednesday",Makara Sankranti,Hindu
2026,"January 14, 2026, Wednesday",Pongal,Hindu
2026,"January 2, 2026, Friday",Hazarat Ali's Birthday,Islamic
2026,"January 23, 2026, Friday",Vasant Panchami,Hindu
2026,"January 23, 2026, Friday",Subhas Chandra Bose Jayanti,Govt
2026,"January 26, 2026, Monday",Republic Day,Govt
2026,"January 30, 2026, Friday",Gandhi Punyatithi,Govt
2026,"January 9, 2026, Friday",Vivekananda Jayanti *Samvat,Hindu
2026,"July 16, 2026, Thursday",Jagannath Rathyatra,Hindu
2026,"July 29, 2026, Wednesday",Guru Purnima,Hindu
2026,"June 17, 2026, Wednesday",Maharana Pratap Jayanti,Hindu
2026,"June 17, 2026, Wednesday",Al-Hijra,Islamic
2026,"June 17, 2026, Wednesday",Islamic New Year,Islamic
2026,"June 21, 2026, Sunday",Longest Day of Year,Hindu
2026,"June 21, 2026, Sunday",Father's Day,Modern
2026,"June 21, 2026, Sunday",International Yoga Day,Modern
2026,"June 26, 2026, Friday",Day of Ashura,Islamic
2026,"June 26, 2026, Friday",Muharram,Islamic
2026,"June 29, 2026, Monday",Kabirdas Jayanti,Hindu
2026,"June 5, 2026, Friday",World Environment Day,Modern
2026,"March 19, 2026, Thursday",Ugadi,Hindu
2026,"March 19, 2026, Thursday",Gudi Padwa,Hindu
2026,"March 20, 2026, Friday",Jhulelal Jayanti,Hindu
2026,"March 20, 2026, Friday",Vernal Equinox,Hindu
2026,"March 20, 2026, Friday",Jamat Ul-Vida,Islamic
2026,"March 20, 2026, Friday",Eid al-Fitr,Islamic
2026,"March 20, 2026, Friday",Ramadan,Islamic
2026,"March 20, 2026, Friday",Parsi New Year,Hindu
2026,"March 23, 2026, Monday",Shaheed Diwas,Govt
2026,"March 26, 2026, Thursday",Rama Navami *Smarta,Hindu
2026,"March 27, 2026, Friday",Rama Navami *ISKCON,Hindu
2026,"March 3, 2026, Tuesday",Chhoti Holi,Hindu
2026,"March 3, 2026, Tuesday",Holika Dahan,Hindu
2026,"March 3, 2026, Tuesday",Chaitanya Mahaprabhu Jayanti,Hindu
2026,"March 31, 2026, Tuesday",Mahavir Swami Jayanti,Hindu
2026,"March 4, 2026, Wednesday",Holi,Hindu
2026,"March 6, 2026, Friday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2026,"March 8, 2026, Sunday",International Women's Day,Modern
2026,"May 1, 2026, Friday",Buddha Purnima,Hindu
2026,"May 1, 2026, Friday",International Workers' Day,Modern
2026,"May 10, 2026, Sunday",Mother's Day,Modern
2026,"May 27, 2026, Wednesday",Eid al-Adha,Islamic
2026,"May 27, 2026, Wednesday",Bakrid,Islamic
2026,"May 3, 2026, Sunday",World Laughter Day,Modern
2026,"May 31, 2026, Sunday",World No Tobacco Day,Modern
2026,"May 7, 2026, Thursday",Rabindranath Tagore Jayanti,Govt
2026,"November 10, 2026, Tuesday",Govardhan Puja,Hindu
2026,"November 11, 2026, Wednesday",Bhaiya Dooj,Hindu
2026,"November 14, 2026, Saturday",Nehru Jayanti,Govt
2026,"November 14, 2026, Saturday",Children's Day,Modern
2026,"November 15, 2026, Sunday",Chhath Puja,Hindu
2026,"November 24, 2026, Tuesday",Guru Nanak Jayanti,Hindu
2026,"November 8, 2026, Sunday",Lakshmi Puja,Hindu
2026,"November 8, 2026, Sunday",Narak Chaturdashi,Hindu
2026,"November 8, 2026, Sunday",Diwali,Hindu
2026,"October 11, 2026, Sunday",Maharaja Agrasen Jayanti,Hindu
2026,"October 19, 2026, Monday",Durga Ashtami,Hindu
2026,"October 19, 2026, Monday",Maha Navami,Hindu
2026,"October 2, 2026, Friday",Gandhi Jayanti,Govt
2026,"October 20, 2026, Tuesday",Dussehra,Hindu
2026,"October 21, 2026, Wednesday",Madhvacharya Jayanti,Hindu
2026,"October 26, 2026, Monday",Valmiki Jayanti,Hindu
2026,"October 26, 2026, Monday",Meerabai Jayanti,Hindu
2026,"October 29, 2026, Thursday",Karwa Chauth,Hindu
2026,"September 14, 2026, Monday",Ganesh Chaturthi,Hindu
2026,"September 14, 2026, Monday",Hindi Diwas,Modern
2026,"September 15, 2026, Tuesday",Visvesvaraya Jayanti,Govt
2026,"September 15, 2026, Tuesday",Engineer's Day,Modern
2026,"September 23, 2026, Wednesday",Autumnal Equinox,Hindu
2026,"September 4, 2026, Friday",Krishna Janmashtami,Hindu
2026,"September 5, 2026, Saturday",Teachers' Day,Modern
2027,"April 1, 2027, Thursday",Bank's Holiday,Govt
2027,"April 14, 2027, Wednesday",Solar New Year,Hindu
2027,"April 14, 2027, Wednesday",Ambedkar Jayanti,Govt
2027,"April 14, 2027, Wednesday",Baisakhi,Sikh
2027,"April 15, 2027, Thursday",Rama Navami,Hindu
2027,"April 19, 2027, Monday",Mahavir Swami Jayanti,Hindu
2027,"April 22, 2027, Thursday",Earth Day,Modern
2027,"April 7, 2027, Wednesday",Ugadi,Hindu
2027,"April 7, 2027, Wednesday",Gudi Padwa,Hindu
2027,"April 8, 2027, Thursday",Jhulelal Jayanti,Hindu
2027,"August 1, 2027, Sunday",Friendship Day,Modern
2027,"August 15, 2027, Sunday",Independence Day,Govt
2027,"August 15, 2027, Sunday",Milad un-Nabi,Islamic
2027,"August 15, 2027, Sunday",Eid-e-Milad,Islamic
2027,"August 17, 2027, Tuesday",Raksha Bandhan,Hindu
2027,"August 17, 2027, Tuesday",Rakhi,Hindu
2027,"August 25, 2027, Wednesday",Krishna Janmashtami,Hindu
2027,"August 8, 2027, Sunday",Tulsidas Jayanti,Hindu
2027,"December 1, 2027, Wednesday",World AIDS Day,Modern
2027,"December 12, 2027, Sunday",Hazarat Ali's Birthday,Islamic
2027,"December 22, 2027, Wednesday",Shortest Day of Year,Hindu
2027,"December 25, 2027, Saturday",Merry Christmas,Christian
2027,"February 11, 2027, Thursday",Vasant Panchami,Hindu
2027,"February 14, 2027, Sunday",Valentine's Day,Modern
2027,"February 19, 2027, Friday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2027,"February 20, 2027, Saturday",Guru Ravidas Jayanti,Hindu
2027,"February 4, 2027, Thursday",World Cancer Day,Modern
2027,"January 1, 2027, Friday",English New Year,Christian
2027,"January 12, 2027, Tuesday",Swami Vivekananda Jayanti,Govt
2027,"January 12, 2027, Tuesday",National Youth Day,Modern
2027,"January 14, 2027, Thursday",Lohri,Sikh
2027,"January 15, 2027, Friday",Guru Gobind Singh Jayanti,Hindu
2027,"January 15, 2027, Friday",Makara Sankranti,Hindu
2027,"January 15, 2027, Friday",Pongal,Hindu
2027,"January 19, 2027, Tuesday",Tailang Swami Jayanti,Hindu
2027,"January 23, 2027, Saturday",Subhas Chandra Bose Jayanti,Govt
2027,"January 26, 2027, Tuesday",Republic Day,Govt
2027,"January 28, 2027, Thursday",Vivekananda Jayanti *Samvat,Hindu
2027,"January 30, 2027, Saturday",Gandhi Punyatithi,Govt
2027,"July 18, 2027, Sunday",Guru Purnima,Hindu
2027,"July 5, 2027, Monday",Jagannath Rathyatra,Hindu
2027,"June 15, 2027, Tuesday",Day of Ashura,Islamic
2027,"June 15, 2027, Tuesday",Muharram,Islamic
2027,"June 18, 2027, Friday",Kabirdas Jayanti,Hindu
2027,"June 20, 2027, Sunday",Father's Day,Modern
2027,"June 21, 2027, Monday",Longest Day of Year,Hindu
2027,"June 21, 2027, Monday",International Yoga Day,Modern
2027,"June 5, 2027, Saturday",World Environment Day,Modern
2027,"June 6, 2027, Sunday",Al-Hijra,Islamic
2027,"June 6, 2027, Sunday",Islamic New Year,Islamic
2027,"June 7, 2027, Monday",Maharana Pratap Jayanti,Hindu
2027,"March 10, 2027, Wednesday",Ramakrishna Jayanti,Hindu
2027,"March 10, 2027, Wednesday",Eid al-Fitr,Islamic
2027,"March 10, 2027, Wednesday",Ramadan,Islamic
2027,"March 2, 2027, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2027,"March 21, 2027, Sunday",Chhoti Holi,Hindu
2027,"March 21, 2027, Sunday",Holika Dahan,Hindu
2027,"March 21, 2027, Sunday",Vernal Equinox,Hindu
2027,"March 21, 2027, Sunday",Parsi New Year,Hindu
2027,"March 22, 2027, Monday",Chaitanya Mahaprabhu Jayanti,Hindu
2027,"March 22, 2027, Monday",Holi,Hindu
2027,"March 23, 2027, Tuesday",Shaheed Diwas,Govt
2027,"March 25, 2027, Thursday",Chhatrapati Shivaji Maharaj Jayanti,Hindu
2027,"March 26, 2027, Friday",Good Friday,Christian
2027,"March 28, 2027, Sunday",Easter,Christian
2027,"March 5, 2027, Friday",Jamat Ul-Vida,Islamic
2027,"March 6, 2027, Saturday",Maha Shivaratri,Hindu
2027,"March 8, 2027, Monday",International Women's Day,Modern
2027,"May 1, 2027, Saturday",International Workers' Day,Modern
2027,"May 10, 2027, Monday",Shankaracharya Jayanti,Hindu
2027,"May 10, 2027, Monday",Surdas Jayanti,Hindu
2027,"May 17, 2027, Monday",Eid al-Adha,Islamic
2027,"May 17, 2027, Monday",Bakrid,Islamic
2027,"May 2, 2027, Sunday",Vallabhacharya Jayanti,Hindu
2027,"May 2, 2027, Sunday",World Laughter Day,Modern
2027,"May 20, 2027, Thursday",Buddha Purnima,Hindu
2027,"May 31, 2027, Monday",World No Tobacco Day,Modern
2027,"May 7, 2027, Friday",Rabindranath Tagore Jayanti,Govt
2027,"May 9, 2027, Sunday",Mother's Day,Modern
2027,"November 14, 2027, Sunday",Guru Nanak Jayanti,Hindu
2027,"November 14, 2027, Sunday",Nehru Jayanti,Govt
2027,"November 14, 2027, Sunday",Children's Day,Modern
2027,"November 4, 2027, Thursday",Chhath Puja,Hindu
2027,"October 10, 2027, Sunday",Madhvacharya Jayanti,Hindu
2027,"October 15, 2027, Friday",Valmiki Jayanti,Hindu
2027,"October 15, 2027, Friday",Meerabai Jayanti,Hindu
2027,"October 18, 2027, Monday",Karwa Chauth,Hindu
2027,"October 2, 2027, Saturday",Gandhi Jayanti,Govt
2027,"October 28, 2027, Thursday",Narak Chaturdashi,Hindu
2027,"October 29, 2027, Friday",Lakshmi Puja,Hindu
2027,"October 29, 2027, Friday",Diwali,Hindu
2027,"October 30, 2027, Saturday",Govardhan Puja,Hindu
2027,"October 31, 2027, Sunday",Bhaiya Dooj,Hindu
2027,"October 7, 2027, Thursday",Durga Ashtami,Hindu
2027,"October 8, 2027, Friday",Maha Navami,Hindu
2027,"October 9, 2027, Saturday",Dussehra,Hindu
2027,"September 12, 2027, Sunday",Onam,Hindu
2027,"September 14, 2027, Tuesday",Hindi Diwas,Modern
2027,"September 15, 2027, Wednesday",Visvesvaraya Jayanti,Govt
2027,"September 15, 2027, Wednesday",Engineer's Day,Modern
2027,"September 23, 2027, Thursday",Autumnal Equinox,Hindu
2027,"September 30, 2027, Thursday",Maharaja Agrasen Jayanti,Hindu
2027,"September 4, 2027, Saturday",Ganesh Chaturthi,Hindu
2027,"September 5, 2027, Sunday",Teachers' Day,Modern
2028,"April 1, 2028, Saturday",Bank's Holiday,Govt
2028,"April 13, 2028, Thursday",Solar New Year,Hindu
2028,"April 13, 2028, Thursday",Baisakhi,Sikh
2028,"April 14, 2028, Friday",Ambedkar Jayanti,Govt
2028,"April 14, 2028, Friday",Good Friday,Christian
2028,"April 16, 2028, Sunday",Easter,Christian
2028,"April 20, 2028, Thursday",Vallabhacharya Jayanti,Hindu
2028,"April 22, 2028, Saturday",Earth Day,Modern
2028,"April 29, 2028, Saturday",Shankaracharya Jayanti,Hindu
2028,"April 29, 2028, Saturday",Surdas Jayanti,Hindu
2028,"April 3, 2028, Monday",Rama Navami *Smarta,Hindu
2028,"April 4, 2028, Tuesday",Rama Navami *ISKCON,Hindu
2028,"April 7, 2028, Friday",Mahavir Swami Jayanti,Hindu
2028,"August 13, 2028, Sunday",Krishna Janmashtami,Hindu
2028,"August 15, 2028, Tuesday",Independence Day,Govt
2028,"August 23, 2028, Wednesday",Ganesh Chaturthi,Hindu
2028,"August 3, 2028, Thursday",Milad un-Nabi,Islamic
2028,"August 3, 2028, Thursday",Eid-e-Milad,Islamic
2028,"August 5, 2028, Saturday",Raksha Bandhan,Hindu
2028,"August 5, 2028, Saturday",Rakhi,Hindu
2028,"August 6, 2028, Sunday",Friendship Day,Modern
2028,"December 1, 2028, Friday",World AIDS Day,Modern
2028,"December 21, 2028, Thursday",Shortest Day of Year,Hindu
2028,"December 23, 2028, Saturday",Guru Gobind Singh Jayanti,Hindu
2028,"December 25, 2028, Monday",Merry Christmas,Christian
2028,"December 27, 2028, Wednesday",Tailang Swami Jayanti,Hindu
2028,"February 10, 2028, Thursday",Guru Ravidas Jayanti,Hindu
2028,"February 14, 2028, Monday",Valentine's Day,Modern
2028,"February 19, 2028, Saturday",Maharishi Dayanand Saraswati Jayanti,Hindu
2028,"February 19, 2028, Saturday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2028,"February 23, 2028, Wednesday",Maha Shivaratri,Hindu
2028,"February 25, 2028, Friday",Jamat Ul-Vida,Islamic
2028,"February 27, 2028, Sunday",Ramakrishna Jayanti,Hindu
2028,"February 27, 2028, Sunday",Eid al-Fitr,Islamic
2028,"February 27, 2028, Sunday",Ramadan,Islamic
2028,"February 4, 2028, Friday",World Cancer Day,Modern
2028,"January 1, 2028, Saturday",English New Year,Christian
2028,"January 12, 2028, Wednesday",Swami Vivekananda Jayanti,Govt
2028,"January 12, 2028, Wednesday",National Youth Day,Modern
2028,"January 14, 2028, Friday",Lohri,Sikh
2028,"January 15, 2028, Saturday",Makara Sankranti,Hindu
2028,"January 15, 2028, Saturday",Pongal,Hindu
2028,"January 18, 2028, Tuesday",Vivekananda Jayanti *Samvat,Hindu
2028,"January 23, 2028, Sunday",Subhas Chandra Bose Jayanti,Govt
2028,"January 26, 2028, Wednesday",Republic Day,Govt
2028,"January 30, 2028, Sunday",Gandhi Punyatithi,Govt
2028,"January 31, 2028, Monday",Vasant Panchami,Hindu
